PG.ProteinGroups,PG.Genes,PG.ProteinDescriptions,[1] HREC_ETIS_1.raw.PG.Quantity,[2] HREC_ETIS_2.raw.PG.Quantity,[3] HREC_ETIS_3.raw.PG.Quantity,[4] HREC_ETIS_4.raw.PG.Quantity,[5] HREC_IRIS_1.raw.PG.Quantity,[6] HREC_IRIS_2.raw.PG.Quantity,[7] HREC_IRIS_3.raw.PG.Quantity,[8] HREC_IRIS_4.raw.PG.Quantity,[9] HREC_P_1.raw.PG.Quantity,[10] HREC_P_2.raw.PG.Quantity,[11] HREC_P_3.raw.PG.Quantity,[12] HREC_P_4.raw.PG.Quantity
Q86WH2,RASSF3,Ras association domain-containing protein 3,1313.045776,1868.190674,1574.959839,1440.356445,894.1401978,1293.891357,620.8348389,1569.229248,1340.71814,618.690918,1359.288086,144.4008636
Q86WJ1,CHD1L,Chromodomain-helicase-DNA-binding protein 1-like,15106.42871,15814.10254,16075.625,16182.72168,15037.88281,17058.65625,18004.88086,18146.33398,16662.07617,24534.98242,22438.50195,24446.7168
Q86WN1,FCHSD1,F-BAR and double SH3 domains protein 1,1007054.375,828834.0625,1049090.25,989764.6875,1016155.938,918334.5,924412.875,863109.8125,596406.375,716073.5625,633661.25,647668.625
Q86WQ0,NR2C2AP,Nuclear receptor 2C2-associated protein,1340.803955,NaN,NaN,1049.499023,897.5220947,85042.48438,837.8850098,NaN,58966.50391,1366.773804,1183.970703,128.2819061
Q86WR0,CCDC25,Coiled-coil domain-containing protein 25,19715.38281,20063.82031,19403.25,18226.29297,20230.44727,23613.35742,22000.75,18854.30859,25064.39844,22622.86328,21545.25586,22625.52539
Q86WR7,PROSER2,Proline and serine-rich protein 2,19686.43945,20043.58594,19823.33594,16255.87793,18111.0918,20737.51953,23887.47656,22345.57422,49361.1875,35104.35938,36408.52344,37418.86719
Q86WU2,LDHD,"Probable D-lactate dehydrogenase, mitochondrial",288.1510315,139.6367035,72.89920044,450.4576111,NaN,187.0827332,NaN,154.9209595,307.693634,235.6598969,394.2293396,96.0901947
Q86WV5,TEN1,CST complex subunit TEN1,2058.993896,3082.481201,2361.281982,4406.052734,3186.260742,4267.947266,4110.057617,3841.542236,1857.403442,468.4083252,835.8293457,2889.180664
Q86WV6,STING1,Stimulator of interferon genes protein,1020.622864,1251.216187,925.8753052,927.5767822,736.2332153,745.6533813,638.1274414,1574.274658,389.3852539,552.5587158,762.1888428,947.3498535
Q86WX3,RPS19BP1,Active regulator of SIRT1,32758.97266,33306.96875,35501.30078,36287.57813,33570.61328,34546.05859,39663.47266,38447.39844,26948.61719,36829.39844,40483.16406,41817.36328
Q86X02,CDR2L,Cerebellar degeneration-related protein 2-like,28364.37305,30339.94922,27845.83789,28412.79102,29455.63867,27788.45508,25984.83203,26604.30664,17497.07031,17667.60547,17448.79883,19055.23242
Q86X10,RALGAPB,Ral GTPase-activating protein subunit beta,37249.94141,36175.49219,34591.98438,39133.69922,34705.84375,33478.16797,36503.81641,33044.55078,21690.20313,23258.8457,23453.67188,19546.38867
Q86X27,RALGPS2,Ras-specific guanine nucleotide-releasing factor RalGPS2,2785.145752,358.6098022,2747.45752,2454.701416,2105.660889,2336.517578,2421.120361,2901.162842,1885.061279,2744.40332,NaN,2527.57959
Q86X29,LSR,Lipolysis-stimulated lipoprotein receptor,73605.07031,67274.23438,67105.35938,70236.6875,68398.66406,71899.35156,79943.21875,73238.03906,54542.98047,63408.60938,56436.26172,65804.39063
Q86X40,LRRC28,Leucine-rich repeat-containing protein 28,894.7053223,2332.348877,2246.827637,1658.733398,3316.039551,2564.827637,2053.36792,2830.566162,3480.55542,591.6453247,653.8880005,2643.736084
Q86X52,CHSY1,Chondroitin sulfate synthase 1,1820.59375,959.140564,1101.954346,4235.909668,12360.87988,2647.696533,762.352478,916.8345947,1720.623291,1642.650146,7354.90332,1195.214111
Q86X53,ERICH1,Glutamate-rich protein 1,1332.880371,3615.421875,4655.199707,4126.945801,5008.035156,5755.669434,5539.5,5338.974121,3266.929688,8158.36084,5852.861328,7573.962891
Q86X55,CARM1,Histone-arginine methyltransferase CARM1,61510.57813,60142.59375,62597.28516,59533.28906,69168.94531,67022.60156,63700.13672,61884.78906,49377.44141,56826.9375,49670.98047,55556.53906
Q86X76,NIT1,Deaminated glutathione amidase,171365.125,159596.125,126565.9297,152783.2188,127719.7109,149213.125,142243,136802.1406,121772.1406,97799.78906,140648.1563,98135.00781
Q86X83,COMMD2,COMM domain-containing protein 2,NaN,411.4472656,484.1690063,790.2797852,721.5866699,651.7334595,648.5578003,680.0087891,0.393266022,NaN,488.8946838,730.2472534
Q86XA9,HEATR5A,HEAT repeat-containing protein 5A,21947.04492,22998.21289,23419.08398,24111.35742,19332.72461,22416.37305,22107.9375,23085.47656,18403.40234,20317.1582,18589.67969,21109.04688
Q86XE5,HOGA1,"4-hydroxy-2-oxoglutarate aldolase, mitochondrial",2260.620117,1109.083496,638.3997192,901.8847656,1228.505005,1120.887085,3002.145996,2616.118896,776.1884766,1239.055054,838.0657959,743.5134277
Q86XI2,NCAPG2,Condensin-2 complex subunit G2,32.96381378,0.208541915,NaN,0.2152237,114.4630814,153.7871246,452.57547,NaN,1595.992798,423.3962097,147.8569794,90.61175537
Q86XJ1,GAS2L3,GAS2-like protein 3,99.3004837,NaN,NaN,122.0775757,NaN,263.8196716,173.647522,341.995697,957.3030396,481.5592041,477.1717529,604.5388184
Q86XK2,FBXO11,F-box only protein 11,3925.351074,4958.904297,4989.934082,2852.521484,5176.261719,4843.053711,3028.122559,3994.54126,2834.573242,3641.947266,4580.993652,3870.006104
Q86XK3,SFR1,Swi5-dependent recombination DNA repair protein 1 homolog,3431.989258,1212.637695,3880.814941,2885.025391,2194.28125,3869.191162,3310.983398,1285.449341,1187.145264,1512.37915,1364.920166,2056.325928
Q86XL3,ANKLE2,Ankyrin repeat and LEM domain-containing protein 2,20042.94727,27678.12305,23102.49023,23544.07227,24842.24609,23625.10938,23154.99414,26077.66992,25524.16992,32582.28906,29375.66406,36431.96484
Q86XN7,PROSER1,Proline and serine-rich protein 1,3260.639648,4614.929199,4664.78418,4286.967285,5156.650391,8122.428223,6297.672852,3978.381348,4664.911621,4493.63916,4063.498535,4909.038086
Q86XN8,MEX3D,RNA-binding protein MEX3D,15092.20508,18237.89258,16439.03906,14251.2959,13961.79883,14862.14258,15273.77344,11118.5,17847.43555,16185.58301,18304.79297,14237.64453
Q86XP1,DGKH,Diacylglycerol kinase eta,124151.4844,141271.8906,150133.9219,149277.1406,152653.5313,141414.0469,169198.7969,153500.875,93385.19531,114145.5313,120798.3125,114159.8984
Q86XP3,DDX42,ATP-dependent RNA helicase DDX42,50659.75391,49729.5625,54093.91406,56507.83203,59536.82813,63755.05859,57676.01172,59030.58594,51297.72656,59477.1875,58532.80078,61339.28516
Q86XR8,CEP57,Centrosomal protein of 57 kDa,2143.611816,367.5710449,3378.788086,2062.12915,1785.956299,1913.477417,2458.55249,2308.475098,2762.490967,2584.994141,2154.658691,2792.095215
Q86XT9,TMEM219,Insulin-like growth factor-binding protein 3 receptor,938.8500366,889.0785522,994.7088623,1507.64209,1038.386108,2244.909668,1760.01062,1063.49585,NaN,1129.89856,827.59729,527.1956177
Q86XZ4,SPATS2,Spermatogenesis-associated serine-rich protein 2,46029.24609,50333.07422,54161.17969,57814.04688,54254.45313,49505.625,55194.32031,57157.5,39193.13281,46654.55078,38840.82813,48655.78516
Q86Y07,VRK2,Serine/threonine-protein kinase VRK2,7611.822754,7999.289063,7093.594727,7700.947754,9079.891602,8865.236328,10725.4375,8943.533203,13235.66211,10636.35254,13148.16504,11563.06836
Q86Y13,DZIP3,E3 ubiquitin-protein ligase DZIP3,57.37841415,380.9178772,342.646637,350.974762,307.4325867,379.9234619,319.1767883,425.4915466,NaN,35.006073,32.54510117,148.1983032
Q86Y37,CACUL1,CDK2-associated and cullin domain-containing protein 1,12408.8291,14748.7627,15902.28809,14884.44238,14674.44141,14131.62207,14984.59668,15444.98145,15146.24512,19798.0957,15436.78711,18177.54883
Q86Y39,NDUFA11,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 11,91812.46094,73083.23438,63289.36328,73067.97656,71017.57031,83264.33594,69756.78125,78145.86719,57787.72656,46804.99219,53128.64844,46811.375
Q86Y46,KRT73,"Keratin, type II cytoskeletal 73",NaN,64.40329742,NaN,160.3252106,NaN,137.7097931,475.2167358,NaN,NaN,104.3426514,NaN,NaN
Q86Y56,DNAAF5,"Dynein assembly factor 5, axonemal",230559.1875,215707.8281,253387.125,265098.5313,258049.5625,219395.7969,273735.25,274927.3125,313981.5625,322973.3438,315539,331060.125
Q86Y79,PTRH1,Probable peptidyl-tRNA hydrolase,108571.2891,98268.86719,95121.59375,83829.98438,100751.5469,101238.4297,98339.82813,100064.1797,100460.8984,95682.04688,90975.07813,81557.75
Q86Y82,STX12,Syntaxin-12,158432,126941.4609,144990.5,139038.1563,138371.2656,143625.6719,141028.1875,148103.75,115465.1719,110849.5469,106919.0859,101761.2969
Q86Y91,KIF18B,Kinesin-like protein KIF18B,351782.4688,225209.625,428283.5,209308.2031,438248.5,248431.9844,171813.1719,132079.5625,433105.0625,301839.1875,147693.5625,204281.3438
Q86YB7,ECHDC2,"Enoyl-CoA hydratase domain-containing protein 2, mitochondrial",223278.7188,182855.2969,229879.3438,158287.9063,102867.5547,130206.75,148583.0156,136187.6094,138736.7813,105924.3984,157835.7969,113070.2656
Q86YB8,ERO1B,ERO1-like protein beta,1321.020874,1913.856689,1770.360474,2439.292969,2149.296387,2122.937744,2603.675049,1956.757324,2508.540283,1664.53125,1713.027954,1135.117798
Q86YD1,PTOV1,Prostate tumor-overexpressed gene 1 protein,3525.777588,1642.602661,2491.880371,2469.151855,2264.672852,1757.481567,1685.650391,1864.668579,2053.727539,3388.931396,2502.108398,2832.840088
Q86YH6,PDSS2,All trans-polyprenyl-diphosphate synthase PDSS2,2516.249512,2742.828369,3616.838867,2428.247559,2888.092041,3388.158203,2833.416016,2252.401611,3128.078613,3379.43042,2904.368652,3569.724609
Q86YL5,TDRP,Testis development-related protein,17874.24414,13932.18555,10316.30273,10497.21484,15888.22266,14469.96973,17174.66406,16972.02148,11120.29297,14078.49219,13628.10352,14197.37207
Q86YM7,HOMER1,Homer protein homolog 1,1736.64917,2244.58252,1750.965088,2189.386719,1904.575073,2034.87146,1700.573486,2199.772217,1556.262207,1772.667969,1727.263916,2392.827148
Q86YN1,DOLPP1,Dolichyldiphosphatase 1,15459.35059,8377.702148,8866.379883,10661.13379,10272.23438,11243.63574,11878.91309,11109.54492,8166.88916,6316.998047,14267.25781,6304.071777
Q86YP4,GATAD2A,Transcriptional repressor p66-alpha,23243.04492,26871.36133,26702.97461,28771.35352,25446.75391,27887.61719,25090.89063,23744.45898,35491.10156,43408.32031,35923.45313,41993.70703
Q86YQ8,CPNE8,Copine-8,7294.14209,9140.858398,8504.207031,7604.687012,7936.560059,8629.927734,8493.013672,9052.8125,8406.601563,10106.53711,8677.892578,9473.082031
Q86YR5,GPSM1,G-protein-signaling modulator 1,8164.620117,4771.76416,6222.15625,5396.241211,5608.117188,5023.331543,8350.717773,7714.430176,11417.33887,11016.50879,10716.39648,7180.32666
Q86YS3,RAB11FIP4,Rab11 family-interacting protein 4,NaN,NaN,NaN,NaN,NaN,0.10096398,0.248498291,NaN,NaN,NaN,NaN,NaN
Q86YS6,RAB43,Ras-related protein Rab-43,19947.70703,12759.00977,15392.62891,11739.63379,11185.31152,45397.08984,47546.82031,46635.54297,8638.78125,9425.845703,9550.181641,7109.075684
Q86YS7,C2CD5,C2 domain-containing protein 5,8728.599609,7836.078613,7069.25,7676.620605,7221.590332,7909.567383,8190.945801,9334.404297,5210.919434,7393.118164,7208.324219,7885.717773
Q86YT6,MIB1,E3 ubiquitin-protein ligase MIB1,6449.678223,6489.282715,6567.803223,6569.002441,5703.632813,7162.942871,7675.093262,6315.794922,4346.71875,6381.327148,5261.600586,5863.209473
Q86YV5,PRAG1,Inactive tyrosine-protein kinase PRAG1,3414.055176,3865.318848,3251.807617,2930.436768,3282.199951,5624.436523,1864.720703,2773.614746,2260.267334,1885.381714,2022.17395,1973.577881
Q86YV9,HPS6,Hermansky-Pudlak syndrome 6 protein,27152.10938,27323.41406,26303.58008,31015.60938,27018.71875,28382.28711,28740.70703,27979.58203,19351.53516,22132.72266,23432.02734,24892.59766
Q8IU60,DCP2,m7GpppN-mRNA hydrolase,1114.415405,2856.295654,3417.345459,NaN,3688.903809,4627.100098,4300.546875,NaN,7799.394043,5137.516113,9222.579102,3963.856201
Q8IU81,IRF2BP1,Interferon regulatory factor 2-binding protein 1,6984.857422,5763.231445,7565.669434,7642.888672,6477.060547,6275.12793,7071.975586,6435.73877,8878.302734,9311.513672,9545.267578,7930.870117
Q8IU85,CAMK1D,Calcium/calmodulin-dependent protein kinase type 1D,NaN,224.4485779,226.6172485,563.484436,209.2629242,203.6485748,1775.400024,427.0215149,1011.502686,688.6085815,330.0698547,437.2173462
Q8IU89,CERS3,Ceramide synthase 3,201.2380981,2684.314453,2162.452637,2458.212891,2804.32959,1723.480103,1837.350952,2820.284424,NaN,1960.05188,506.7866821,2001.328125
Q8IUC4,RHPN2,Rhophilin-2,44731.42969,54152.19531,52262.05859,54819.35156,44630.90234,51034.62109,52327.13281,47964.09766,18340.65625,17911.11719,19433.26758,18191.47266
Q8IUC6,TICAM1,TIR domain-containing adapter molecule 1,1680.755737,2510.394531,2585.866455,2595.16333,1803.919312,1968.849365,1628.47229,1356.004639,4125.933594,3113.716064,3419.781738,2128.275635
Q8IUD2,ERC1,ELKS/Rab6-interacting/CAST family member 1,69751.13281,81050.96875,71736.49219,78328.91406,73030.67969,78223.97656,75583.45313,75838.77344,63494.8125,73428.85156,64457.63672,83187.23438
Q8IUF1;Q9BRT8,CBWD2;CBWD1,COBW domain-containing protein 2;COBW domain-containing protein 1,8905.727539,11025.96191,10327.52148,9221.882813,10424.33301,7898.127441,9178.375977,11285.51758,8753.475586,10054.54688,8072.625977,9324.563477
Q8IUF8,RIOX2,Ribosomal oxygenase 2,5473.270508,6105.720215,6828.128906,6794.161621,6372.500488,6524.557617,6673.95459,5278.311035,16268.59082,16821.11133,18585.84766,20858.23438
Q8IUH3,RBM45,RNA-binding protein 45,5008.79541,5576.435059,6187.280273,6515.621582,6079.054199,5191.064941,6905.801758,6296.686035,7389.521973,7123.994629,7974.512207,7764.856934
Q8IUH4,ZDHHC13,Palmitoyltransferase ZDHHC13,7029.841797,8266.878906,8988.429688,9068.561523,6984.166016,6249.553711,5451.676758,6296.495117,7386.561523,6798.70752,5360.595215,5481.203125
Q8IUH5,ZDHHC17,Palmitoyltransferase ZDHHC17,3482.855225,2253.48584,2557.208984,2578.942139,2854.590332,3770.974365,2840.062988,2793.30127,5749.48584,2508.991943,1426.906616,2265.779785
Q8IUI8,CRLF3,Cytokine receptor-like factor 3,8581.28125,8259.838867,6109.084961,8410.007813,4504.796387,7624.609863,9764.519531,10244.69922,7248.546875,8724.800781,7376.280273,8207.914063
Q8IUQ4,SIAH1,E3 ubiquitin-protein ligase SIAH1,341.0618591,432.9599915,328.4450378,NaN,1227.085327,1541.742676,1394.472778,1348.572144,3425.13623,111.0803909,792.1264648,1418.539063
Q8IUR0,TRAPPC5,Trafficking protein particle complex subunit 5,9838.036133,12331.85156,12077.58496,10542.52148,10300.84668,11328.1875,11140.36523,12209.6875,11226.77441,10992.75586,7662.43457,7606.044434
Q8IUR7,ARMC8,Armadillo repeat-containing protein 8,29552.15234,35573.51953,38094.74609,32417.95703,36824.48047,42354.15625,36033.92578,39495.50391,20394.71289,29867.37109,21838.28906,30536.32422
Q8IUW3,SPATA2L,Spermatogenesis-associated protein 2-like protein,5007.487305,6095.890625,5038.478516,5732.577148,4915.461426,3551.367676,5292.347168,5124.580078,3291.441162,5870.04834,3751.111328,3324.602783
Q8IUX1,TMEM126B,"Complex I assembly factor TMEM126B, mitochondrial",35957.49609,22681.82031,22975.98047,29998.75195,26485.96094,31845.25195,40057.05859,43117.37109,29961.81055,27866.05469,36419.33594,36359.74609
Q8IUX4,APOBEC3F,DNA dC->dU-editing enzyme APOBEC-3F,5461.510742,5097.055176,4842.102539,3486.873779,4133.750977,2262.079346,2994.986084,2634.743408,3453.140625,1570.232544,3217.040771,1734.572388
Q8IUZ5,PHYKPL,5-phosphohydroxy-L-lysine phospho-lyase,4812.404297,6838.395996,5564.564453,8286.557617,5938.261719,8588.545898,7760.674316,4983.553223,4475.643066,4173.01709,4089.998779,4856.056152
Q8IV08,PLD3,5'-3' exonuclease PLD3,4992.711914,4418.358887,4673.450684,4669.427246,4923.296387,4247.719727,4287.52002,4279.637207,10854.20117,3622.203857,8444.919922,3437.452637
Q8IV20,LACC1,Purine nucleoside phosphorylase LACC1,6531.183594,4330.82959,4977.432617,3885.343018,3368.687988,3262.475342,2618.316406,3977.667969,2663.865234,1233.783203,4274,2291.37085
Q8IV32,CCDC71,Coiled-coil domain-containing protein 71,3419.075928,3640.394775,4091.447998,2695.393311,3628.917969,3689.059814,4163.456543,1847.71521,5093.01123,5115.602051,6520.206055,5060.755859
Q8IV36,HID1,Protein HID1,6909.41748,6533.287598,6495.364258,6741.236816,6264.062988,5782.94873,7673.307617,7133.19873,4367.535156,3895.592285,4026.681641,3791.396729
Q8IV38,ANKMY2,Ankyrin repeat and MYND domain-containing protein 2,16970.23828,15858.17871,16543.73633,17408.80273,18611.58008,15230.19336,15628.91797,19531.72656,14476.54395,13646.2002,15863.99023,14649.08496
Q8IV48,ERI1,3'-5' exoribonuclease 1,15339.15332,13986.29395,19831.93555,16890.58789,15772.74023,15849.58203,17286.73242,15687.0791,15291.23242,22881.38867,13869.25586,22718.50977
Q8IV56,PRR15,Proline-rich protein 15,953.0045776,1399.28186,1088.357544,864.7874146,1167.908447,1435.156616,745.9352417,1120.216187,523.989624,348.9877319,659.1945801,565.9049072
Q8IV63,VRK3,Inactive serine/threonine-protein kinase VRK3,1456.993286,635.5186157,357.430481,301.0751343,1034.627686,464.9726563,586.22229,743.0428467,570.3359985,780.9672852,280.3667603,139.1225433
Q8IVB5,LIX1L,LIX1-like protein,2665.834961,3415.67749,2550.657715,3257.6604,2496.777344,3164.331543,2749.944824,2522.89624,2138.586426,2396.962158,2673.571533,2148.063477
Q8IVD9,NUDCD3,NudC domain-containing protein 3,49443.17969,47822.18359,49196.53906,45186.75,57274.56641,42124.86719,37017.45703,52652.33984,25614.20313,42732.19922,37176.33594,44378.44531
Q8IVE3,PLEKHH2,Pleckstrin homology domain-containing family H member 2,3757.440918,3533.128418,4243.583008,3150.09375,2104.686768,3280.682861,2949.263184,2481.866943,3353.13208,1764.055176,2492.276123,2912.984619
Q8IVF2,AHNAK2,Protein AHNAK2,201745.9219,213570.5,217568.4688,208974.3125,182558.4063,187695.8125,186264.875,185545.5625,124480.0547,135680.875,124482.0156,126793.1406
Q8IVF7,FMNL3,Formin-like protein 3,5906.711914,7828.659668,8466.412109,7456.576172,6865.009766,6880.378906,7232.700195,8036.661133,9130.933594,12823.46094,8957.262695,8539.833008
Q8IVG5,SAMD9L,Sterile alpha motif domain-containing protein 9-like,635.7952881,536.215332,790.0240479,914.9129028,805.2957153,428.2587585,567.5736694,620.5373535,275.0730286,230.5701141,335.8406372,399.5388489
Q8IVH4,MMAA,"Methylmalonic aciduria type A protein, mitochondrial",9537.436523,8671.277344,8231.673828,8944.882813,9048.633789,10149.02832,8159.769531,10105.35059,5355.162109,4710.549316,5803.750488,4646.241699
Q8IVH8,MAP4K3,Mitogen-activated protein kinase kinase kinase kinase 3,11698.55469,8395.928711,9485.329102,10172.94922,9770.293945,9583.008789,9518.158203,10342.83594,5391.152832,6169.67627,4907.975586,4977.85498
Q8IVL0,NAV3,Neuron navigator 3,7195.101074,6367.652344,6144.261719,5972.60791,6142.192383,5988.193848,6693.373047,7178.08252,7937.282715,7815.025391,9437.62207,8681.016602
Q8IVL1,NAV2,Neuron navigator 2,4483.609863,3368.232666,4258.912109,3968.409668,3154.167236,3471.616699,3921.086914,3689.004395,3505.842529,3756.729492,3964.774658,4107.551758
Q8IVL5,P3H2,Prolyl 3-hydroxylase 2,36538.11328,36382.92969,34327.57813,37540.55469,32728.10547,32707.0332,35379.86719,31850.76563,43394.89063,44460.83984,49519.74219,44015.27344
Q8IVL6,P3H3,Prolyl 3-hydroxylase 3,29779.70313,28100.13867,25561.20313,25898.83008,31464.61328,29809.87891,30713.20703,35193.84766,33717.41797,37594.41406,41494.76563,33919.59375
Q8IVM0,CCDC50,Coiled-coil domain-containing protein 50,28223.44336,27067.14453,28541.67383,31291.78516,33790.11719,35838.5625,35737.58984,30055.89258,14861.23145,31673.53125,13567.50391,35118.10938
Q8IVP5,FUNDC1,FUN14 domain-containing protein 1,2893.33667,3190.324219,2536.442139,1884.705933,3738.620605,3854.726563,3131.888184,2926.576416,1132.323975,1907.940674,2039.707153,1235.426147
Q8IVS2,MCAT,"Malonyl-CoA-acyl carrier protein transacylase, mitochondrial",28194.97461,26714.82422,29333.53906,29367.35742,31357.95313,30340.42773,29712.44141,31871.20898,25230.10938,25268.04492,30804.60938,29055.39258
Q8IVS8,GLYCTK,Glycerate kinase,5147.336914,6643.117188,11885.33984,11267.58594,6189.325195,4546.499512,9657.933594,4910.47998,5763.598145,5639.102051,6002.342285,7026.151367
Q8IVT2,MISP,Mitotic interactor and substrate of PLK1,23639.33203,11592.62012,19935.30078,17718.07813,16920.48242,13409.3252,15226.84082,12244.03516,30625.89844,29248.05273,27408.50781,25803.80859
Q8IVT5,KSR1,Kinase suppressor of Ras 1,4868.914551,5427.989746,5329.263672,6074.128906,5240.428223,5244.552734,5615.398438,4749.174805,2815.048584,6150.259766,4975.921387,6351.379395
Q8IVV2,LOXHD1,Lipoxygenase homology domain-containing protein 1,4432.145508,3018.382568,3439.030029,3762.942871,3956.46167,4288.278809,4369.705566,4589.676758,2714.387207,3824.130371,2766.551025,3673.580811
Q8IVW6,ARID3B,AT-rich interactive domain-containing protein 3B,1932.640015,5689.275391,2577.120361,2619.365479,2296.343262,2997.641846,1756.152954,2485.24707,2850.299316,2790.827637,2278.815918,3884.890625
Q8IVW8,SPNS2,Protein spinster homolog 2,7595.464355,5251.489258,6270.145996,6432.283203,7816.560547,4566.233887,6961.587891,7327.020508,4219.452148,5617.931152,4395.518555,5702.489258
Q8IW19,APLF,Aprataxin and PNK-like factor,4815.714844,2451.086426,3868.561279,4295.498535,4687.642578,3972.281006,5374.541992,3768.30542,6865.921387,5680.710938,6638.121094,7992.779297
Q8IW35,CEP97,Centrosomal protein of 97 kDa,7202.118652,7806.565918,7289.066406,8117.881348,7271.444824,6291.564453,9046.566406,9640.643555,6138.322266,7734.352539,8674.673828,8557.776367
Q8IW41,MAPKAPK5,MAP kinase-activated protein kinase 5,0.718996644,NaN,1015.141479,545.4776611,311.1025696,1101.81897,774.407959,243.2323456,651.0083618,345.7954712,322.065094,249.327179
Q8IW45,NAXD,ATP-dependent (S)-NAD(P)H-hydrate dehydratase,68857.67188,52940.44141,51675.87891,52692.74219,42256.51563,55580.64063,45595.47266,43970.08984,26459.66211,20851.21094,29173.0293,29582.64648
Q8IW50,FAM219A,Protein FAM219A,0.882525563,1,0.658063233,NaN,0.675378859,0.811900258,NaN,NaN,6.758686066,NaN,1.677609801,NaN
Q8IW52,SLITRK4,SLIT and NTRK-like protein 4,1524.526367,1208.254761,1026.619995,1180.805542,8775.646484,1328.929321,10464.84766,906.7279663,10715.46777,8405.397461,6802.215332,9732.373047
Q8IWA0,WDR75,WD repeat-containing protein 75,15904.25977,15448.41309,15570.97363,13379.70605,16181.82813,16641.12109,16043.98535,15851.60059,28087.26172,19720.1543,21217.90039,20334.70508
Q8IWA4,MFN1,Mitofusin-1,25046.55078,21620.3457,21680.10938,20710.26367,22290.56641,23765.49219,24391.66211,21600.39063,21156.4082,26144.41797,25583.20117,23187.29102
Q8IWA5,SLC44A2,Choline transporter-like protein 2,2196.125732,2136.266357,2519.311523,2981.176514,2505.386719,1422.10376,2484.841553,2980.456543,1689.546387,2360.555664,1648.633301,2101.87915
Q8IWB1,ITPRIP,"Inositol 1,4,5-trisphosphate receptor-interacting protein",3184.74292,3554.144531,3700.66626,4397.63916,3534.464111,4218.397949,3083.978516,3924.924561,3367.209473,2375.486328,2703.445557,3045.22876
Q8IWB7,WDFY1,WD repeat and FYVE domain-containing protein 1,48692.51563,41734.84766,41556.63672,41750.54297,47173.32813,46408.16797,44859.35156,44192.05078,48301.32031,37661.41406,47628.29297,33985.49609
Q8IWB9,TEX2,Testis-expressed protein 2,9133.905273,6137.527832,5432.27832,4082.648193,6023.910156,5382.5625,5482.983887,4746.303711,4153.51123,5148.328613,4110.183105,6294.003418
Q8IWC1,MAP7D3,MAP7 domain-containing protein 3,8718.180664,9803.161133,9729.237305,9773.78418,9992.360352,11212.84473,8265.723633,9565.833008,10459.90918,12538.63086,11332.87793,12680.83398
Q8IWD4,CCDC117,Coiled-coil domain-containing protein 117,3399.328613,4019.766113,2633.962891,3703.556396,3095.693115,3354.686768,4581.180664,3377.71875,6259.084473,5045.46875,5286.396973,5466.440918
Q8IWE2,FAM114A1,Protein NOXP20,38024.27344,45070.14063,41422.66016,36974.34766,39161.94531,36567.27734,39239.41016,34533.26953,46269.46484,46122.36719,45184.375,51580.44141
Q8IWE4,DCUN1D3,DCN1-like protein 3,20862.06055,14167.29785,22997.22656,19043.66016,19781.98438,18340.96484,16196.91211,16537.65625,9606.208008,9217.398438,12956.51074,8552.325195
Q8IWE5,PLEKHM2,Pleckstrin homology domain-containing family M member 2,5989.065918,6675.86084,5179.145508,6422.991211,3837.42041,4186.58252,5090.263672,4161.353516,6132.246094,5183.638672,4828.83252,4431.058594
Q8IWF6,DENND6A,Protein DENND6A,186.6891937,410.6588745,219.4115601,223.8951569,355.997467,179.7790375,193.0961456,NaN,NaN,260.2998047,NaN,NaN
Q8IWI9,MGA,MAX gene-associated protein,2765.556396,3141.128418,3683.552979,3148.105957,3384.942871,2929.399902,2872.822998,3378.708496,3905.404785,5055.689453,4814.823242,5370.089355
Q8IWJ2,GCC2,GRIP and coiled-coil domain-containing protein 2,19563.05469,20220,19946.89648,20318.23828,19236.92969,20714.01367,19907.31055,20939.24023,21857.30859,16237.08398,17195.14453,16323.14453
Q8IWK6,ADGRA3,Adhesion G protein-coupled receptor A3,6568.727539,2366.759521,7028.491211,6331.317871,5135.17334,8160.973145,5365.347168,7990.946289,3805.328613,6613.34082,2023.046143,1907.933716
Q8IWP9,CCDC28A,Coiled-coil domain-containing protein 28A,5455.824707,6181.125,5481.688477,5976.410645,4827.751465,5029.151367,5630.000488,5230.415039,3273.206543,4907.087891,4251.19873,3922.039795
Q8IWR0,ZC3H7A,Zinc finger CCCH domain-containing protein 7A,1579.755737,1032.422729,1090.860474,1447.83606,1289.354614,1314.112671,1317.234619,1824.311035,1907.553467,1814.946533,1553.588135,1771.806519
Q8IWR1,TRIM59,Tripartite motif-containing protein 59,3808.098389,4252.447266,3289.941406,2713.957031,3630.148193,2749.911377,4613.820313,2628.667969,2590.494629,1445.575317,3355.302734,1347.495605
Q8IWS0,PHF6,PHD finger protein 6,28646.31445,25896.86523,24714.92383,27327.125,28043.78906,28419.3418,29553.28125,28040.76953,33020.35547,34337.57422,30932.6543,32610.55273
Q8IWT3,CUL9,Cullin-9,5412.12207,4370.845703,5254.860352,5434.016602,4333.279297,6129.145996,4754.839844,5735.881348,4067.451904,4113.568359,4786.111816,3859.438721
Q8IWT6,LRRC8A,Volume-regulated anion channel subunit LRRC8A,37066.15625,34080.59375,28789.5625,30597.43555,33667.46094,36212.38672,35712.45313,33027.76172,51904.03125,37304.17188,38015.92578,36529.91406
